Alabama,3615,69.05,15.1,41.3,50708
Alaska,365,69.31,11.3,66.7,566432
Arizona,2212,70.55,7.8,58.1,113417
Arkansas,2110,70.66,10.1,39.9,51945
California,21198,71.71,10.3,62.6,156361
Colorado,2541,72.06,6.8,63.9,103766
Connecticut,3100,72.48,3.1,56,4862
Delaware,579,70.06,6.2,54.6,1982
Florida,8277,70.66,10.7,52.6,54090
Georgia,4931,68.54,13.9,40.6,58073
Hawaii,868,73.6,6.2,61.9,6425
Idaho,813,71.87,5.3,59.5,82677
Illinois,11197,70.14,10.3,52.6,55748
Indiana,5313,70.88,7.1,52.9,36097
Iowa,2861,72.56,2.3,59,55941
Kansas,2280,72.58,4.5,59.9,81787
Kentucky,3387,70.1,10.6,38.5,39650
Louisiana,3806,68.76,13.2,42.2,44930
Maine,1058,70.39,2.7,54.7,30920
Maryland,4122,70.22,8.5,52.3,9891
Massachusetts,5814,71.83,3.3,58.5,7826
Michigan,9111,70.63,11.1,52.8,56817
Minnesota,3921,72.96,2.3,57.6,79289
Mississippi,2341,68.09,12.5,41,47296
Missouri,4767,70.69,9.3,48.8,68995
Montana,746,70.56,5,59.2,145587
Nebraska,1544,72.6,2.9,59.3,76483
Nevada,590,69.03,11.5,65.2,109889
New Hampshire,812,71.23,3.3,57.6,9027
New Jersey,7333,70.93,5.2,52.5,7521
New Mexico,1144,70.32,9.7,55.2,121412
New York,18076,70.55,10.9,52.7,47831
North Carolina,5441,69.21,11.1,38.5,48798
North Dakota,637,72.78,1.4,50.3,69273
Ohio,10735,70.82,7.4,53.2,40975
Oklahoma,2715,71.42,6.4,51.6,68782
Oregon,2284,72.13,4.2,60,96184
Pennsylvania,11860,70.43,6.1,50.2,44966
Rhode Island,931,71.9,2.4,46.4,1049
South Carolina,2816,67.96,11.6,37.8,30225
South Dakota,681,72.08,1.7,53.3,75955
Tennessee,4173,70.11,11,41.8,41328
Texas,12237,70.9,12.2,47.4,262134
Utah,1203,72.9,4.5,67.3,82096
Vermont,472,71.64,5.5,57.1,9267
Virginia,4981,70.08,9.5,47.8,39780
Washington,3559,71.72,4.3,63.5,66570
West Virginia,1799,69.48,6.7,41.6,24070
Wisconsin,4589,72.48,3,54.5,54464
Wyoming,376,70.29,6.9,62.9,97203
